Nazwa	Skrót	Segment
INVENTION	INM	NC Base
INVESTEKO	IVE	NC Base
INWESTPL	INW	NC Base
IPODS	IOD	NC Base
ISIAG	ISG	NC Base
IU	IUS	NC Focus
JRHOLDING	JRH	NC Base
JUJUBEE	JJB	NC Base
JWA	JWA	NC Base
KANCELWEC	KPI	NC Base
KBJ	KBJ	NC Focus
KKHERBAL	KKH	NC Base
KLABATER	KBT	NC Focus
 KLEBAINV /Z/1,/9	KIN	NC Alert
KLON	KLN	NC Base
 KME/8	KME	NC Alert
KORBANK	KOR	NC Focus
KUPIEC	KPC	NC Base
LANGLOO /Z	LAN	NC Alert
LAURENPES	LPS	NC Base
LETUS	LET	NC Base
LGTRADE	LGT	NC Focus
LIBERTY /Z	LTG	NC Alert
 LKDESIGN/7	LKS	NC Alert
LOKATYBUD	LBD	NC Alert
 LSTECHHOM/22	LSH	NC Alert
LUG	LUG	NC Focus
LUKARDI	LUK	NC Base
LUXIMA /Z	LUX	NC Alert
M4B	M4B	NC Base
MADKOM	MAD	NC Focus
MAKOLAB	MLB	NC Focus
MAKORA /Z	MRA	NC Alert
MALKOWSKI	MMA	NC Focus
MARKA	MRK	NC Alert
MAXIMUS /Z	MAX	NC Alert
MAXIPIZZA	MXP	NC Base
MBFGROUP	MBF	NC Base
MEDAPP	MDA	NC Base
MEDARD	MRD	NC Alert
MEDCAMP	MDP	NC Base
MEDIANPOL	MDN	NC Base
 MEGASONIC /Z/1	MGA	NC Alert
MENNICASK	MNS	NC Focus
MERA	MER	NC Base
MERIT	MEI	NC Base
MERLINGRP	MRG	NC Base
MFOOD	MFD	NC Focus
MGAMES /Z	MGS	NC Alert
MILESTONE	MMD	NC Alert
MILKPOL	MLP	NC Base
MILTON	MTN	NC Base
MINERAL	MND	NC Base
MINOX /Z	MNX	NC Alert
MMCPL	MMC	NC Base
MODE	MOE	NC Base
MODERNCOM	MCE	NC Alert
MOONLIT	MLT	NC Base
MOTORICUS /Z	MTR	NC Alert
MOVIEGAMES	MOV	NC Base
MPAY	MPY	NC Base
MPLVERBUM	VER	NC Focus
MSM	MSM	NC Focus
MTRANS /Z	MTS	NC Alert
NEPTIS	YAN	NC Base
NESTMEDIC	NST	NC Alert
NETWISE	NTW	NC Focus
NEURONE	NRS	NC Base
 NEXTBIKE/7	NXB	NC Alert
NFPL /Z	NFP	NC Base
NGGAMES	NGG	NC Base
NOTORIA	NTS	NC Focus
NOVAVIS	NVV	NC Base
NOVINA	NOV	NC Base
NWAI	NWA	NC Focus
ONEMORE	OML	NC Base
 ONICO /Z/9	ONC	NC Alert
OPTIZENLB	OPT	NC Alert
ORGANIC	ORG	NC Base
ORZLOPONY	ORL	NC Base
OUTDOORZY	OUT	NC Base
OVIDWORKS	OVI	NC Base
OXYGEN	OXY	NC Base
P2CHILL	P2C	NC Base
PARCELTEC	PTE	NC Base
PARTNER	PRN	NC Focus
PASSUS	PAS	NC Focus
 PATFUND/6	PFD	NC Alert
PBGAMES	PBT	NC Base
PFMEDICAL	PFM	NC Alert
PHOTON	PEN	NC Base
PLANETB2B	P2B	NC Base
 PLANETINN /Z/10	PIG	NC Alert
PLANTWEAR	PNW	NC Base
 PLASMA/7	PSM	NC Alert
PLATIGE	PLI	NC Focus
PLGROUP	PLG	NC Base
POINTPACK	PNT	NC Focus
POLARISIT	PIT	NC Base
POLMAN	PLM	NC Focus
POLTRONIC	PTN	NC Focus
POLYSLASH	PSH	NC Base
 PREFABET/8	PBB	NC Alert
PREFAGRP	PFG	NC Base
PRESENT24	P24	NC Base
 PRESTO /Z/2	PST	NC Alert
PROLOG	PRL	NC Focus
PROMISE	PRO	NC Focus
 PROPERTYF/1	PLE	NC Alert
PRYMUS	PRS	NC Focus
PTWP	PTW	NC Base
PYLON	PYL	NC Base
PYRAMID	PDG	NC Base
QUART	QRT	NC Base
QUARTICON	QON	NC Base
QUBICGMS	QUB	NC Focus
READGENE	RDG	NC Base
REDDEV	RDS	NC Base
 REMEDIS/7	REM	NC Alert
REMORSOL	RSP	NC Focus
REVITUM /Z	REV	NC Alert
ROBINSON	RBS	NC Focus
ROCCA	RCA	NC Base
ROVITA	ROV	NC Alert
RSY	RSY	NC Base
RUCHCHORZ	RCW	NC Alert
S4E	S4E	NC Base
SAKANA	SKN	NC Focus
SCPFL	SCP	NC Base
SEVENET	SEV	NC Focus
SFD	SFD	NC Focus
SFERANET	SFN	NC Focus
 SFKPOLKAP /Z/9	SFK	NC Alert
SHOCKWORK	SWK	NC Base
SIMFABRIC	SIM	NC Base
SMSKREDYT	SMS	NC Base
SOFTBLUE	SBE	NC Base
SONKA	SOK	NC Focus
SPAC1 /Z	SP1	NC Alert
SPARKVC	SPK	NC Base
SPYROSOFT	SPR	NC Base
STANDREW	STD	NC Base
STARWARD	STA	NC Base
STEMCELLS	SCS	NC Base
SUMMALING	SUL	NC Focus
SUNTECH	SUN	NC Focus
SURFLAND	SSK	NC Base
SWALLET	SWT	NC Base
SYMBIO /Z	SYM	NC Alert
SYNERGA	SNG	NC Base
SZAR	SZR	NC Base
TAMEX	TOS	NC Base
TAXNET	TXN	NC Focus
TAXUSFUND /Z	TXF	NC Alert
TECHINVGR	TIG	NC Base
TELEMEDPL	TMP	NC Base
TELESTO	TLO	NC Base
TELESTR	TLS	NC Focus
TELGAM	TLG	NC Base
TELIANI	TLV	NC Focus
TERMO2PWR	T2P	NC Base
TERMOEXP	TME	NC Base
THEDUST	THD	NC Base
TLTENNIS	TLT	NC Base
UHYECA	ECA	NC Base
UNIFIED	UFC	NC Alert
UNITED	UTD	NC Base
VABUN	VAB	NC Base
VAKOMTEK	VKT	NC Base
VARSAV	VAR	NC Base
VEE	VEE	NC Base
VELTO /Z	VEL	NC Alert
VERBICOM	VRB	NC Base
 VIATRON/8	VIA	NC Alert
VIDIS	VDS	NC Focus
VISION	VIV	NC Alert
 WBAY /Z/1,/11	WBY	NC Alert
WERTHHOLZ	WHH	NC Focus
WESTREAL	WRE	NC Base
WIERZYCL	WRL	NC Base
WODKAN	WOD	NC Base
WOLFSTF /Z	WTF	NC Alert
XPLUS	XPL	NC Focus
 		
